# Character art: Universal LPC Spritesheet (art assets only, not generator code).
# Full per-asset credits: https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator/blob/master/CREDITS.csv
"asset","authors","licenses","source_url"
"gear/mail_male","Johannes Sjölund (wulax) | Napsio (Vitruvian Studio) | JaidynReiman","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"gear/mail_female","Johannes Sjölund (wulax) | Napsio (Vitruvian Studio) | JaidynReiman","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"gear/plate_male","Napsio (Vitruvian Studio) | JaidynReiman | bluecarrot16 | Michael Whitlock (bigbeargames) | Johannes Sjölund (wulax) | Matthew Krohn (makrohn)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"gear/plate_female","Napsio (Vitruvian Studio) | JaidynReiman | bluecarrot16 | Michael Whitlock (bigbeargames) | Johannes Sjölund (wulax) | Matthew Krohn (makrohn)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"gear/shoes_male","JaidynReiman | bluecarrot16 | Johannes Sjölund (wulax) | Joe White","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"gear/shoes_female","JaidynReiman | bluecarrot16 | Johannes Sjölund (wulax) | Joe White","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"gear/boots_male","JaidynReiman | bluecarrot16 | Nila122","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair"
"gear/boots_female","JaidynReiman | bluecarrot16 | Nila122","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair"
"gear/greaves_male","Matthew Krohn (makrohn) | Johannes Sjölund (wulax)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"gear/greaves_female","Matthew Krohn (makrohn) | Johannes Sjölund (wulax)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"gear/cape_male","bluecarrot16 | JaidynReiman","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more"
"gear/cape_female","bluecarrot16 | JaidynReiman","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more"
"gear/amulet_male","bluecarrot16 | AntumDeluge","CC0","https://opengameart.org/content/dungeon-crawl-32x32-tiles"
"gear/amulet_female","bluecarrot16 | AntumDeluge","CC0","https://opengameart.org/content/dungeon-crawl-32x32-tiles"
"gear/excalibur_male","bluecarrot16 | tskaufma | Johannes Sjölund (wulax)","OGA-BY 3.0 | CC-BY-SA 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"gear/excalibur_female","bluecarrot16 | tskaufma | Johannes Sjölund (wulax)","OGA-BY 3.0 | CC-BY-SA 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"gear/archmage-staff_male","bluecarrot16","OGA-BY 3.0+ | GPL 3.0 | CC-BY 4.0","https://opengameart.org/content/lpc-more-weapons"
"gear/archmage-staff_female","bluecarrot16","OGA-BY 3.0+ | GPL 3.0 | CC-BY 4.0","https://opengameart.org/content/lpc-more-weapons"
"gear/dragon-plate_male","Napsio (Vitruvian Studio) | JaidynReiman | bluecarrot16 | Nila122","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-roman-armor"
"gear/dragon-plate_female","Napsio (Vitruvian Studio) | JaidynReiman | bluecarrot16 | Nila122","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-roman-armor"
"gear/crown_male","DarkwallLKE | Charles Sanchez (CharlesGabriel)","CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles"
"gear/crown_female","DarkwallLKE | Charles Sanchez (CharlesGabriel)","CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles"
